genres_0,genres_1,genres_2,genres_3,app_name,id
Action, Adventure, Indie, Massively Multiplayer,ARK: Survival Of The Fittest,407530
Action, Free to Play, Indie, Massively Multiplayer,Robocraft,301520
Action, Indie, Simulation,,Sky Rogue,381020
Action, Adventure, Indie, RPG,NEO-NOW!,503420
Indie, Strategy,,,Castle Story,227860
Indie, Massively Multiplayer, RPG,,Tree of Life,361800
Action, Indie,,,20XX,322110
Action, Indie, RPG,,Fragmented,441790
Action, Indie, RPG,,Looterkings,397310
Action, Adventure, Casual, Indie,Project Explore,357650
Free to Play, Indie, Strategy,,Demise of Nations,338810
Action,,,,LawBreakers,350280
Adventure, Indie, Simulation, Strategy,The Long Dark,305620
Action, Adventure, Indie, Simulation,Slime Rancher,433340
Action, Adventure, Free to Play, Massively Multiplayer,Secret World Legends,215280
Action, Casual, Indie,,Shiperoids,510070
Action, Free to Play, Massively Multiplayer, Racing,Crossout,386180
Adventure, Indie,,,Dreamfall Chapters,237850
Action, Adventure, Indie,,Black The Fall,308060
Action, Adventure, Casual, Free to Play,Unturned,304930
Action, Adventure, Indie, Early Access,Abducted,299580
Action, Free to Play, Indie, RPG,Dungeon Defenders II,236110
Action, Adventure, Indie, Strategy,CRYPTARK,344740
Action, Adventure, Indie,,Face It - A game to fight inner demons,364050
Action, Adventure, Casual, Indie,Crowman & Wolfboy,339590
Strategy,,,,Blitzkrieg 3,235380
Action, Adventure, Indie, RPG,After The End: The Harvest,386140
Action, Indie, Racing, Simulation,Formula Fusion,389670
Action, Indie,,,Armed with Wings: Rearmed,340580
Action, Adventure, Indie, Racing,Hover,280180
Action, Adventure, Casual, Indie,Flying Tigers: Shadows Over China,365810
Indie, Simulation, Strategy,,Life is Feudal: Forest Village,496460
Action, Adventure, Indie, Simulation,Planet Nomads,504050
Adventure, Indie, RPG,,StarCrawlers,318970
Action, RPG, Simulation, Strategy,Starpoint Gemini Warlords,419480
Action, Adventure, RPG,,Portal Knights,374040
Indie, Simulation, Strategy,,Bounty Train,371520
Indie, Simulation, Strategy,,Block'hood,416210
Action, Adventure, Indie, Simulation,Survival Zombies The Inverted Evolution,440730
Indie, Simulation, Strategy,,Hearthlands,336300
Indie, Sports,,,Bunny Hop League,429780
Action, Free to Play, Strategy,,Games of Glory,342150
Action,,,,Sniper Ghost Warrior 3,368070
Action, Adventure, Casual, Indie,Super Bomb Rush!,397810
Action, Free to Play, Strategy,,Orcs Must Die! Unchained,427270
Action, Adventure, Indie, RPG,Man O' War: Corsair - Warhammer Naval Battles,344240
Action, Indie, RPG,,Crawl,293780
Action, Adventure, Indie,,GIBZ,448320
Indie,,,,Rivals of Aether,383980
Action, Casual, Indie,,Ballistic Overkill,296300
Indie, RPG, Strategy,,Battle Brothers,365360
Adventure, Indie,,,Kona,365160
Adventure, Casual, Indie,,Cubic complex,500100
Action, Casual, Indie, Simulation,Maximum Override,389220
Free to Play, Indie, Massively Multiplayer, Strategy,Faeria,397060
Action, Indie, Sports,,Disc Jam,415880
Adventure,,,,LEGO® Worlds,332310
Action, Indie,,,Super Galaxy Squadron EX Turbo,345860
Action, Adventure, Indie, RPG,Pixel Privateers,342640
Simulation,,,,Take On Mars,244030
Indie, Simulation,,,LogicBots,290020
Adventure, Indie, Simulation,,Max's Big Bust - A Captain Nekorai Tale,416360
Action, Adventure,,,GIGA WRECKER,454410
Action, Free to Play, Indie, RPG,Skara - The Blade Remains,274620
Simulation, Strategy,,,Sovereignty: Crown of Kings,312430
Free to Play, Massively Multiplayer, RPG,,Karos Returns,371310
Action, Adventure, Indie,,Poi,401810
Action, Free to Play, Indie,,Line of Sight,436520
Casual, Indie, Strategy,,Crown and Council,444250
Free to Play, Indie, Strategy,,Tactical Genius Online,377150
Action, Adventure, Casual, Indie,Lift It,402220
Action, Indie,,,Hive Jump,295670
Strategy,,,,Galaxy Admirals,411120
Action, Indie,,,Barbara-ian,380860
Action, Casual, Indie,,room13,314590
Adventure, Indie, RPG, Early Access,Journey of the King,327960
Action, Adventure, RPG, Strategy,HoD: On open seas,386330
Action, Adventure, Casual, Indie,LONE WOLF: Horizon,429020
Action, Indie,,,BIOS,350600
Action, Adventure, Indie,,TY the Tasmanian Tiger,411960
Free to Play, Massively Multiplayer, Simulation, Strategy,Prominence Poker,384180
Adventure, Indie, RPG, Simulation,Epic Manager - Create Your Own Adventuring Agency!,391280
Action, Casual, Free to Play, Indie,Of Guards And Thieves,302590
Indie, Strategy,,,Fracture the Flag,388900
Action, Adventure, Indie, RPG,Dungeon Souls,383230
Action, Adventure, Indie,,Junk Jack,414190
Action, Indie, RPG,,Moorhuhn: Tiger and Chicken,321940
Action, Indie,,,Bullshot,436530
Action, Free to Play, Indie, Simulation,Call to Arms,302670
Action,,,,Killing Floor 2,232090
Simulation, Strategy,,,Planet Coaster,493340
Action, Indie, Sports,,Kopanito All-Stars Soccer,399820
Simulation, Strategy,,,RollerCoaster Tycoon World™,282560
Indie, Massively Multiplayer, Strategy,,Screeps,464350
Free to Play, Indie, Massively Multiplayer, RPG,LuckCatchers,454540
Indie, RPG,,,Doom & Destiny Advanced,361040
Action, Free to Play, Indie, Strategy,CLASH,416040
Indie, Massively Multiplayer, RPG,,Boundel: The Second Era,454070
Free to Play, Strategy, Early Access,,One Tower,463250
Adventure, Indie, Strategy,,Beholder,475550
Action, Adventure, Indie, RPG,Planet Explorers,237870
Action, Adventure, Casual, Indie,"Bye-Bye, Wacky Planet",492130
Indie, RPG, Strategy,,Rencounter,431810
Simulation,,,,World Ship Simulator,403980
Simulation,,,,European Ship Simulator,299250
Simulation, Sports,,,Football Manager 2017,482730
Simulation, Sports,,,Football Manager Touch 2017,482750
Action, Indie, Early Access,,Zero G Arena,467820
Action, Indie,,,The Ship: Remasted,383790
Strategy,,,,Blight of the Immortals,494220
Action, Adventure, Indie, RPG,Four Realms,483820
Simulation,,,,Farming Simulator 17,447020
Action, Indie, RPG, Simulation,BossConstructor,330100
Action, Adventure, Indie, RPG,Sky Break,405370
Action, Adventure, Casual, Indie,NUKED KNIGHT,448250
Action, Adventure, Free to Play, Indie,AdventureQuest 3D,429790
Action, Free to Play, Indie, Massively Multiplayer,Heroes & Generals,227940
Action, Casual, Indie,,Magical Brickout,384940
Action, Adventure,,,Shadow Warrior 2,324800
Action, Indie, RPG, Strategy,WARSHIFT,392580
Action, Adventure,,,Duke Nukem 3D: 20th Anniversary World Tour,434050
Adventure, Indie, RPG, Simulation,Major\Minor - Complete Edition,475490
Adventure, Indie, RPG, Simulation,Revolution : Virtual Playspace,387090
Action, Indie,,,Noob Squad,496550
Casual, Simulation,,,Rocksmith® 2014 Edition - Remastered,221680
Indie, Simulation, Strategy,,Unclaimed World,284100
Free to Play, Strategy,,,Atlas Reactor,402570
Action, Indie, Sports, Early Access,Streamline,252850
Action, Indie, RPG,,The Metronomicon: Slay The Dance Floor,416790
Adventure, Indie, RPG,,EARTHLOCK: Festival of Magic,258030
Action, Free to Play, Indie, Strategy,Fractured Space,310380
Adventure, Indie, Strategy,,Sorcerer King: Rivals,496730
Action, Indie,,,Gun Bombers,416180
Sports,,,,NBA 2K17,385760
Action,,,,Seraph,425670
Adventure, Simulation, Strategy, Early Access,Fall of Civilization,467010
Action, Indie,,,Drop Out 0,517660
Casual, Indie,,,True or False,521340
Action, Adventure, Indie, Massively Multiplayer,Loot or Die,523760
Adventure, Casual, Indie, RPG,Diaries of a Spaceport Janitor,436500
Free to Play, Indie, Sports, Strategy,Soccer Manager 2017,510630
Action, Adventure, Massively Multiplayer,,Woodle Tree 2: Worlds,495350
Indie, Simulation, Strategy,,Space Rogue,364300
Action, Casual, Indie,,Marooners,423810
Adventure, Casual, Indie,,PRICE,465520
Indie, Simulation, Strategy,,Niche - a genetics survival game,440650
Action, RPG,,,BioShock™ Remastered,409710
Action, Free to Play, Early Access,,Paladins®,444090
Action, RPG,,,BioShock™ 2 Remastered,409720
Adventure, Indie,,,Event[0],470260
Adventure, Casual,,,Grim Tales: The Bride Collector's Edition,527900
Action, Casual, Free to Play, Indie,Rollout,509190
Adventure, Indie, RPG, Strategy,Avadon 3: The Warborn,460780
Casual, Indie, Simulation, Strategy,Mad Games Tycoon,341000
Casual,,,,PAC-MAN™ CHAMPIONSHIP EDITION 2,441380
Action,,,,"RIVE: Wreck, Hack, Die, Retry!",278100
Action, Casual, Indie,,Floppy Heroes,480450
Action, Indie,,,What The Box?,527340
Free to Play, Indie, Massively Multiplayer, Strategy,Path of War,513440
Action, Adventure,,,DEAD RISING®,427190
Action, Adventure, Casual, Indie,Zombitatos the end of the Pc master race,508140
Action, Free to Play, Indie,,TOXIKK™,324810
Casual, Free to Play, Indie,,Pixel Puzzles Ultimate,351030
Adventure, Casual,,,Dark Parables: Curse of Briar Rose Collector's Edition,524600
Adventure, Indie, RPG, Strategy,Ember,339580
Indie, RPG, Simulation, Strategy,Halcyon 6: Starbase Commander,371200
Casual, Indie,,,"Calm Down, Stalin",502940
Casual, Indie,,,Black Sand Drift,507380
Adventure,,,,STEINS;GATE,412830
Casual, Free to Play, Massively Multiplayer, Strategy,Star Crusade CCG,415270
Action, Indie,,,Dynamite Alex,527810
Action, Adventure, RPG,,How to Survive 2,360170
Action, Indie,,,Rogue Stormers,299480
Simulation, Strategy,,,Project Highrise,423580
Design &amp; Illustration, Web Publishing,,,SMILE GAME BUILDER,483950
Simulation, Strategy,,,Police Tactics: Imperio,378800
Adventure, Indie, RPG, Strategy,Dungeon Rushers: Crawler RPG,429620
Action, Adventure, Indie,,Unbox: Newbie's Adventure,512300
Action, Indie,,,Mother Russia Bleeds,361300
Casual, Indie,,,Won't You Be My Laser?,508820
Adventure, Indie,,,Brave Dungeon,523790
Adventure, Indie,,,Seasons after Fall,366320
Action, Adventure, Indie,,Tadpole Treble,354400
Indie,,,,Space Hole,477310
Adventure, Indie, RPG, Simulation,The Curious Expedition,358130
Casual, Indie,,,Spell Casting: Meowgically Enhanced Edition,522990
Adventure, Casual, Indie, RPG,The Tale of a Common Man,370670
Casual, Indie, Simulation,,Hyper color ball,515470
Action,,,,One Piece Burning Blood,425220
Action, Adventure, Casual, Indie,Voxel Warfare Online,454150
Adventure, Casual,,,Agent Walker: Secret Journey,497580
Action, Casual, Indie,,HellAngel,524340
Action, Indie,,,RunGunJumpGun,440550
Adventure, Indie, RPG, Strategy,Tahira: Echoes of the Astral Empire,396660
Action, Adventure, Indie, RPG,Lost Castle,434650
Action, Indie, RPG,,NeuroVoider,400450
Action, Adventure, Free to Play, Massively Multiplayer,Destiny of Ancient Kingdoms™,497940
Action, Adventure, Indie,,The Final Station,435530
Adventure, Indie,,,Hue,383270
Indie,,,,Blamdown: Udder Fury,460560
Action, Adventure, Indie,,The Warlock of Firetop Mountain,324740
Indie,,,,Reset 1-1,491650
Adventure,,,,The Turing Test,499520
Action, Adventure, Indie,,Livelock,251230
Action, Indie,,,Black Hole Hazard,485160
Adventure, Indie, Simulation,,The Last Hope,522570
Adventure, Indie,,,Last Will,453720
Action, Adventure, Indie,,Tribal Pass,470270
Action, Indie,,,Versus: Battle of the Gladiator,467990
Adventure, Casual, Indie,,Sixtieth Kilometer,448780
Action, Adventure, Indie, RPG,The Hive,325730
Action,,,,N++ (NPLUSPLUS),230270
Casual, Indie,,,Flat Path,512740
Adventure, Casual,,,New York Mysteries: The Lantern of Souls,511140
Casual, Free to Play, Indie, Strategy,Picross Touch,476460
Action, Adventure, Free to Play, Indie,The Pirate: Caribbean Hunt,512470
Action, Adventure, Indie,,Valley,378610
Casual, Free to Play, Indie,,You Have 10 Seconds 2,521570
Free to Play, Indie, Strategy,,Duelyst,291410
Strategy,,,,SkyBoats,510780
Action, RPG,,,Deus Ex: Mankind Divided,337000
Action, Strategy,,,Worms W.M.D,327030
Simulation,,,,Ultimate Arena,385240
Action, Indie, RPG,,Tempest: Pirate Action RPG,418180
Action, Adventure, Indie, RPG,ACE Academy,396650
Action, Indie, RPG,,Crawlers and Brawlers,462860
Indie, Simulation,,,G Prime,497430
Indie, RPG, Simulation, Strategy,Hero Generations: ReGen,443260
Action, Casual, Indie,,Hooligan Vasja,515910
Action, Indie, Strategy,,Okhlos: Omega,400180
Strategy,,,,"Warhammer 40,000: Armageddon - Da Orks",455340
Action, Indie, Early Access,,Combat Core,405670
Indie,,,,Sparky's Hunt,514520
Racing, Simulation, Sports,,F1 2016,391040
Action, RPG, Strategy,,Savage Resurrection,366440
Strategy,,,,Archipelago,513720
Action, Adventure, Indie,,Blasting Agent: Ultimate Edition,453810
Indie, Strategy,,,Shift,485730
Action, Casual, Indie, Racing,Death Stair,444880
Adventure, Casual, Indie,,Grow Up,426790
Action, Indie, Early Access,,Monsters and Monocles,328510
Action, Indie,,,UBERMOSH Vol.3,515570
Action,,,,The God's Chain,504490
Casual, Free to Play, Massively Multiplayer, RPG,Shop Heroes,506140
Casual, Indie,,,Oh No! Bugs!,513980
Adventure,,,,My Butler,494470
Adventure, Casual,,,Green Moon 2,513260
Action, Adventure, Free to Play, Indie,Orake 2D MMORPG,516510
Casual, Indie, Racing, Simulation,J.U.R : Japan Underground Racing,513930
Indie, Simulation, Strategy,,8-Bit Hordes,497850
Action, Indie, Simulation, Strategy,ROD: Revolt Of Defense,508600
Action, Adventure,,,No Man's Sky,275850
Action, Adventure, Indie,,Cubway,511160
Adventure, Casual,,,Enigmatis 3: The Shadow of Karkhala,495110
Action, Indie, Strategy,,Meridian: Squad 22,451400
Adventure, Indie, RPG, Simulation,Reigns,474750
Action, Adventure, Indie,,Doorways: Holy Mountains of Flesh,383930
Indie,,,,FORTIFY,505040
Casual, Indie,,,Hexoscope,495780
Casual, Free to Play, Indie, Simulation,AdVenture Communist,462930
Free to Play, Massively Multiplayer, Strategy,,Galaxy Control: 3D Strategy,435440
Adventure, RPG,,,Ray Gigant,421600
Action, Adventure, Casual, Strategy,Rock 'N' Roll Defense,438480
Indie, Simulation, Strategy,,Kingdom: New Lands,496300
Action, Adventure, Indie,,Heart&Slash,326840
Action, Casual, Indie,,Blade Ballet,460750
Casual, Indie,,,Spikit,509110
Adventure, Casual,,,Dark Parables: Rise of the Snow Queen Collector's Edition,499110
Action, Adventure, Free to Play, Massively Multiplayer,Dungeon Fighter Online,495910
Adventure, Casual,,,Dark Parables: The Red Riding Hood Sisters Collector's Edition,499120
Adventure, Casual,,,Dark Parables: The Exiled Prince Collector's Edition,499100
Action, Adventure, Indie, RPG,Infectonator: Survivors,269310
Adventure, Indie,,,Bear With Me,492630
Action, Indie,,,Quip Anomaly,506470
Indie, Racing,,,Bears Can't Drift!?,338040
Action, Adventure, Indie, RPG,Devoured Time,356870
Racing, Simulation,,,Extreme Forklifting 2,498570
Adventure, Casual, Indie,,Conclusion,497350
RPG, Simulation, Strategy,,Little King's Story,390310
Action, Casual, Indie,,BlackSmith HIT,508170
Action, Indie, RPG,,Frozen State,270270
Action, Racing, Sports,,Lethal Brutal Racing,509240
Casual, Indie, Strategy,,Othello,307430
Action, Indie,,,Random Access Murder,438790
Action, Adventure, Casual, Indie,Grand Pigeon's Duty,449530
RPG, Strategy,,,Might and Magic: Heroes VII – Trial by Fire,445310
Casual, Indie, Racing, Simulation,Sky Valley,506590
Casual, Indie, Simulation,,Voodoo Garden,502770
Adventure, Free to Play, Indie,,MANDAGON,461560
Action, Casual, Indie, Simulation,Overcooked,448510
Adventure, Casual, Free to Play, RPG,Ragnarok Clicker,493370
Action, Casual, Indie, Simulation,Snow Horse,270030
Action, Casual, Indie,,Pinga Ponga,509960
Free to Play, Indie, Massively Multiplayer, RPG,Heroes of Shadow Guard,438720
Casual, Free to Play, Indie, Simulation,Driftwood The Visual Novel,510750
Adventure, Indie, Strategy,,This Is the Police,443810
Action, Adventure, Casual, Indie,ABZU,384190
Adventure,,,,Batman - The Telltale Series,498240
Action, Adventure, Indie,,Near Death,327560
Adventure, Strategy,,,Mansions of Madness,478980
Action, Adventure,,,Half Dead,434730
Action, Casual, Indie, Strategy,Redactem,502400
Action, Casual, Indie, Strategy,The Orb Chambers II,501830
Action, Adventure,,,Elves Adventure,504980
Action, Adventure, Casual, Indie,The Return Home,502910
Action, Indie, Strategy,,Defect,352370
Action,,,,Blade Arcus from Shining: Battle Arena,446040
Action, Casual, Indie,,$1 Ride,508290
Action, Adventure, Casual, Indie,Book of Demons,449960
Indie, Strategy,,,Steam Squad,290870
Action, Adventure, Casual, Indie,Fly and Destroy,508180
Action, Indie,,,Ratz Instagib,338170
Action, Adventure, RPG,,Marvel: Ultimate Alliance 2,433320
Action, Adventure, RPG,,Marvel: Ultimate Alliance,433300
Action, Adventure, Casual, Indie,Neon Space 2,505210
Action, Adventure, Casual, Indie,Francisca,501760
Action,,,,Headlander,340000
Casual, Free to Play, RPG, Strategy,SolForge,232450
Action, Adventure, Indie,,Quadrilateral Cowboy,240440
Casual, Indie,,,Montaro,495890
Casual, Indie, Simulation, Strategy,Just Deserts,488660
Action, Adventure, Indie, RPG,Ghost of a Tale,417290
RPG,,,,Phantom Brave PC / ファントム・ブレイブ PC,409870
Indie, Strategy,,,Kingdom Rush Frontiers,458710
Adventure, Casual, Indie, Simulation,The Away Team,426290
Casual, Indie,,,Riddles Of The Past,500870
Free to Play,,,,Shonen Idle Z,492800
Action, Adventure, Indie, Racing,Sky to Fly: Soulless Leviathan,457810
Action, Adventure, Casual, Indie,Starbound,211820
Action, Adventure, Casual, Indie,Inverted,496870
Casual, Indie, Strategy,,SweatShop,496680
Adventure, Indie,,,Human: Fall Flat,477160
Action, Casual, Indie,,Dragon Rage,498190
Free to Play, Indie, Strategy,,Intruder Alert: Ixian Operations,458970
Simulation,,,,Pro Pinball Ultra,287900
Casual, Indie, Strategy,,SUPERFIGHT,404770
Action, Adventure, Indie,,Go Mission: Space Travel,487270
Adventure, Casual,,,Demon Hunter 2: New Chapter,465720
Action, Adventure, Casual, Indie,SWORDY,467900
Adventure, Indie,,,1 Moment Of Time: Silentville,497400
Action, Indie,,,The Land of Eyas,299800
Adventure, Indie,,,Kelvin and the Infamous Machine,376520
Action, Indie, RPG,,Death Road to Canada,252610
Adventure, Indie, RPG, Strategy,Extravaganza Rising,501030
Action, Adventure, Free to Play, Indie,BrainBread 2,346330
Action, Casual, Indie,,DubWars,290000
Action, Casual, Strategy, Early Access,Trapper's Delight,467760
Action, Adventure, Indie, RPG,Mahluk:Dark demon,503480
Action, Indie,,,Robot Legions Reborn,490880
RPG,,,,I am Setsuna,441830
Action, Indie,,,10 Second Ninja X,435790
Action,,,,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,410320
Adventure, Casual,,,House of Snark 6-in-1 Bundle,486810
Casual, Indie, Strategy,,Ranger of the jungle,495010
Indie, RPG,,,Drayt Empire,502140
Indie, Simulation, Strategy, Early Access,RimWorld,294100
Indie,,,,Adventure Lamp,425900
Action, Adventure, Indie, Racing,Angel Express [Tokkyu Tenshi],470480
Action, Indie,,,Tales of Destruction,486480
Adventure, Casual,,,Crime Secrets: Crimson Lily,465170
Action, Casual, Indie, Strategy,Infinium Strike,374050
Action, Free to Play, Massively Multiplayer,,Strike.is: The Game,502550
Free to Play, Indie,,,You Have 10 Seconds,510050
Action, Adventure, Casual, Indie,Dead Age,363930
Adventure,,,,Muv-Luv,449830
Action, Casual, Free to Play, Indie,RoShamBo,393930
Casual, Indie,,,klocki,499440
Indie, Simulation, Sports,,Ragdoll Runners,404820
Action, Casual, Indie,,Mad Combat Marines,485370
Adventure, Casual, Indie,,Hiiro,464960
Action,,,,UNDER NIGHT IN-BIRTH Exe:Late,452510
Action, Indie, Sports,,VIDEOBALL,277390
Action, Indie,,,Anarcute,390720
Action, Adventure, Indie,,Rot Gut,395500
Adventure,,,,Song of the Deep,460700
Action, Casual, Indie, Strategy,Tumblestone,269710
Adventure, Casual,,,Redemption Cemetery: Salvation of the Lost Collector's Edition,466050
Indie, Simulation,,,Poly Bridge,367450
Strategy,,,,Firefight,500190
Adventure, Indie,,,Replica,496890
Free to Play, Indie,,,Jonah's Path,493810
Action, Casual, Indie, Strategy,Pristine world,463520
Casual, Indie,,,Asteroids Minesweeper,425070
Action,,,,Radical Spectrum: Volume 1,486150
Action, Indie, Racing,,Dead End Road,448580
Free to Play, Indie,,,Red Trigger,491130
Action, Casual, Indie,,Fly O'Clock,490820
Action, Casual, Free to Play, Indie,Boid,314010
Casual,,,,Evolution Planet: Gold Edition,495090
Casual, Indie, Strategy,,Day D: Tower Rush,423550
Adventure, Indie,,,The Lion's Song: Episode 1 - Silence,437160
Casual, Indie,,,Shape Shifter,497050
Action, Casual, Indie,,Deep Space Dash,493650
Action, Adventure, Casual, Indie,Goblins and Grottos,389190
Indie, Simulation, Strategy, Early Access,The Spatials: Galactology,450700
Action, Adventure, Casual, Indie,Star Rangers™ XE,333340
Action, Adventure, Indie,,Crazy Forest,491170
Adventure, Free to Play, Massively Multiplayer, RPG,Riders of Icarus,442080
Adventure, Casual,,,Dark Parables: The Swan Princess and The Dire Tree Collector's Edition,496030
Action, Adventure, Indie,,RWBY: Grimm Eclipse,418340
Action,,,,Furi,423230
Action, Adventure, Casual, Indie,Take Thy Throne,491260
Adventure, Indie,,,The Room Two,425580
Indie, RPG, Simulation, Strategy,FreeHolder,463800
Adventure, Casual, Free to Play, Indie,Hero Zero,482920
RPG, Strategy,,,Megadimension Neptunia VII,460120
Adventure, Casual, Indie,,Bathory - The Bloody Countess,486170
Simulation, Sports,,,Cricket Captain 2016,462700
Adventure, Indie, Simulation,,The Temporal Invasion,454220
Action, Casual, Free to Play, Indie,Vinyl,369030
Adventure, Casual,,,Sonicomi,444140
Adventure, Casual, RPG, Strategy,Tomoyo After ~It's a Wonderful Life~ English Edition,462990
Indie, Simulation, Strategy,,Earth Space Colonies,437870
Adventure, Casual, Indie,,HardCube,493730
Strategy,,,,Cthulhu Realms,485000
Action, Adventure, Massively Multiplayer, Simulation,The Final Frontier: Space Simulator,416140
Casual, Indie,,,Candy Blast,474050
Action, Free to Play, Early Access,,SpellKnights,444620
Action, Casual, Indie, RPG,Chicken Assassin - Master of Humiliation,489610
Action, Adventure, Indie,,Conan the mighty pig,487700
Action, Adventure,,,LEGO® STAR WARS™: The Force Awakens,438640
Action, Adventure, Indie, RPG,Ace of Protectors,398150
Simulation,,,,Flight 787 - Advanced,490380
Action, Indie,,,Defenders of the Last Colony,326110
Indie, RPG,,,Dungeon of gain,340030
Adventure, Casual, Free to Play,,Twisted Worlds,464800
Action, Adventure, Indie,,Potato Thriller,486650
Action, Adventure, Indie, RPG,Eon Altar,382050
Adventure, Free to Play,,,ChuSingura46+1 S,464780
Action,,,,Umbrella Corps™/Biohazard Umbrella Corps™,390340
Action,,,,PAC-MAN 256,455400
Action, Adventure, Casual, Indie,Alien Attack: In Space,391310
Action,,,,Mighty No. 9,314710
Adventure, Indie,,,Asemblance,452970
Adventure, Indie, Simulation,,VA-11 Hall-A: Cyberpunk Bartender Action,447530
Free to Play, Indie, Strategy,,Ortus Regni,472060
Casual, Indie, Strategy,,Drawful 2,442070
Adventure, Casual, Indie,,Farnham Fables,463110
Adventure, Casual,,,Witches' Legacy: The Ties That Bind Collector's Edition,466100
Simulation, Sports,,,Robot Arena III,363530
Action, Adventure, Casual, Indie,Kimulator : Fight for your destiny,475430
Action, Adventure, Casual,,Alien Run,485410
Adventure, Indie,,,Cursed,431260
Casual, Indie, Strategy,,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),491330
Indie, Strategy,,,Space Run Galaxy,355800
Action, Adventure, Indie, RPG,Storm Of Spears RPG,463350
Adventure, Casual,,,Dark Parables: The Final Cinderella Collector's Edition,465890
Action, Adventure, Indie, RPG,Evil Maze,484950
Action, Indie, Strategy,,BoneBone: Rise of the Deathlord,491080
Adventure,,,,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,472870
Adventure, Indie, RPG, Simulation,Urban Pirate,471380
Action, Free to Play, Indie,,Transmissions: Element 120,365300
Casual, Indie, RPG,,Polandball: Can into Space!,441050
Adventure, Indie,,,Awareness Rooms,453290
Simulation, Sports,,,Pro Cycling Manager 2016,408760
Casual, Indie,,,Freebie,487220
Adventure, Indie, Simulation,,Envoy 2,448940
Action, Adventure, Casual, Indie,Heavenly Battle,491730
Indie, Simulation,,,Welcome to the Game,485380
Action, Free to Play, Indie,,SWARMRIDERS,490230
Adventure, Indie, Strategy,,Beasts Battle,487030
Adventure, Indie, RPG,,Unforgiving Trials: The Darkest Crusade,489220
Adventure, Casual, Free to Play,,Clover Tale,463060
Adventure, Casual, Free to Play, Indie,Elisa: The Innkeeper - Prequel,472680
Action, Indie, RPG,,Void Raiders,445600
Action, Adventure, Indie,,Cally's Trials,476510
Adventure, Indie,,,The Narrator Is a DICK,473450
Casual, Indie, Strategy, Early Access,Mini Thief,481870
Racing,,,,Trials of the Blood Dragon,435480
Action, Casual, Indie,,Verdict Guilty - 유죄 평결,449210
Simulation, Early Access,,,Video blogger Story,470600
Casual, Indie,,,Gun Done,488280
Action, Adventure, Casual, Indie,Soul of the Devil,471910
Strategy,,,,Catch Me,421030
Strategy,,,,Legends of Callasia,438920
Action, Adventure, Indie, RPG,Zombie Party,384500
Adventure, Indie, RPG,,Choice of Alexandria,466430
Casual, Indie,,,The Magical Silence,474820
Action, Adventure,,,Sherlock Holmes: The Devil's Daughter,350640
Casual, Indie, Strategy,,Pick a Hero,485620
